Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.IPPingDiagnostics.Host,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"0.0.0.0",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Interface,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"65535",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"2",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.IPPingDiagnostics.Timeout,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"100",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1,true,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"true",xsd:boolean,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"DHCP",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"cassios-mac",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"192.168.0.100",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.InterfaceType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"802.11",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"86207",xsd:int,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"5C:F9:38:99:45:38",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_TP_ConnIntf,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"2.4GHz",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_TP_ConnType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"1",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2,true,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Active,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"true",xsd:boolean,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.AddressSource,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"DHCP",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.HostName,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"Unknown",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.IPAddress,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"192.168.0.101",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.InterfaceType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"802.11",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.LeaseTimeRemaining,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"86375",xsd:int,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.MACAddress,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"04:B1:67:52:3B:72",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.X_TP_ConnIntf,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"5GHz",xsd:string,2023-05-25T22:10:55.897Z,,,,
